Mod:Item:MetaData, Localized Name
quark:rune:6, Pink Rune
quark:rune:7, Gray Rune
quark:rune:8, Light Gray Rune
quark:rune:9, Cyan Rune
quark:rune:10, Purple Rune
quark:rune:11, Blue Rune
quark:rune:12, Brown Rune
quark:rune:13, Green Rune
quark:rune:14, Red Rune
quark:rune:15, Black Rune
quark:rune:16, Rainbow Rune
quark:black_ash, tile.black_ash.name
quark:ancient_tome, item.ancient_tome.name
quark:horse_whistle, item.horse_whistle.name
quark:soul_powder, item.soul_powder.name
quark:parrot_egg:0, Red Parrot Egg
quark:parrot_egg:1, Blue Parrot Egg
quark:parrot_egg:2, Green Parrot Egg
quark:parrot_egg:3, Cyan Parrot Egg
quark:parrot_egg:4, Gray Parrot Egg
quark:enderdragon_scale, item.enderdragon_scale.name
psi:material:0, Psidust
psi:material:1, Psimetal Ingot
psi:material:2, Psigem
psi:material:3, Ebony Psimetal Ingot
psi:material:4, Ivory Psimetal Ingot
psi:material:5, Ebony Substance
psi:material:6, Ivory Substance
psi:cad_assembly:0, Iron CAD Assembly
psi:cad_assembly:1, Gold CAD Assembly
psi:cad_assembly:2, Psimetal CAD Assembly
psi:cad_assembly:3, Ebony Psimetal CAD Assembly
psi:cad_assembly:4, Ivory Psimetal CAD Assembly
psi:cad_assembly:5, Creative CAD Assembly
psi:cad_core:0, Basic CAD Core
psi:cad_core:1, Overclocked CAD Core
psi:cad_core:2, Conductive CAD Core
psi:cad_core:3, Hyperclocked CAD Core
psi:cad_core:4, Radiative CAD Core
psi:cad_socket:0, Basic CAD Socket
psi:cad_socket:1, Signaling CAD Socket
psi:cad_socket:2, Large CAD Socket
psi:cad_socket:3, Transmissive CAD Socket
psi:cad_socket:4, Huge CAD Socket
psi:cad_battery:0, Basic CAD Battery
psi:cad_battery:1, Extended CAD Battery
psi:cad_battery:2, Ultradense CAD Battery
psi:cad_colorizer_:0, White CAD Colorizer
psi:cad_colorizer_:1, Orange CAD Colorizer
psi:cad_colorizer_:2, Magenta CAD Colorizer
psi:cad_colorizer_:3, Light Blue CAD Colorizer
psi:cad_colorizer_:4, Yellow CAD Colorizer
psi:cad_colorizer_:5, Lime CAD Colorizer
psi:cad_colorizer_:6, Pink CAD Colorizer
psi:cad_colorizer_:7, Gray CAD Colorizer
psi:cad_colorizer_:8, Light Gray CAD Colorizer
psi:cad_colorizer_:9, Cyan CAD Colorizer
psi:cad_colorizer_:10, Purple CAD Colorizer
psi:cad_colorizer_:11, Blue CAD Colorizer
psi:cad_colorizer_:12, Brown CAD Colorizer
psi:cad_colorizer_:13, Green CAD Colorizer
psi:cad_colorizer_:14, Red CAD Colorizer
psi:cad_colorizer_:15, Black CAD Colorizer
psi:cad_colorizer_:16, Full-Spectrum CAD Colorizer
psi:cad_colorizer_:17, Psi CAD Colorizer
psi:spell_bullet:0, Spell Bullet
psi:spell_bullet:2, Projectile Spell Bullet
psi:spell_bullet:4, Loopcast Spell Bullet
psi:spell_bullet:6, Circle Spell Bullet
psi:spell_bullet:8, Grenade Spell Bullet
psi:spell_bullet:10, Charge Spell Bullet
psi:spell_bullet:12, Mine Spell Bullet
psi:spell_drive, item.spell_drive.name
psi:detonator, item.detonator.name
psi:exosuit_controller, item.exosuit_controller.name
psi:exosuit_sensor:0, Exosuit Light Sensor
psi:exosuit_sensor:1, Exosuit Water Sensor
psi:exosuit_sensor:2, Exosuit Heat Sensor
psi:exosuit_sensor:3, Exosuit Stress Sensor
psi:vector_ruler, item.vector_ruler.name
psi:cad, item.cad.name
psi:psimetal_shovel, item.psimetal_shovel.name
psi:psimetal_pickaxe, item.psimetal_pickaxe.name
psi:psimetal_axe, item.psimetal_axe.name
psi:psimetal_sword, item.psimetal_sword.name
psi:psimetal_exosuit_helmet, item.psimetal_exosuit_helmet.name
psi:psimetal_exosuit_chestplate, item.psimetal_exosuit_chestplate.name
psi:psimetal_exosuit_leggings, item.psimetal_exosuit_leggings.name
psi:psimetal_exosuit_boots, item.psimetal_exosuit_boots.name
psi:cad_assembler, tile.cad_assembler.name
psi:programmer, tile.programmer.name
psi:psi_decorative:0, Psidust Block
psi:psi_decorative:1, Psimetal Block
psi:psi_decorative:2, Psigem Block
psi:psi_decorative:3, Dark Psimetal Plate
psi:psi_decorative:4, Dark Psimetal Flow Plate
psi:psi_decorative:5, Bright Psimetal Plate
psi:psi_decorative:6, Bright Psimetal Flow Plate
psi:psi_decorative:7, Ebony Psimetal Block
psi:psi_decorative:8, Ivory Psimetal Block
bedrockores:bedrock_miner, Bedrock Miner
bloodarsenal:slate, tile.bloodarsenal.slate..name
bloodarsenal:blood_infused_wooden_log, Blood Infused Wood
bloodarsenal:blood_infused_wooden_stairs, Blood Infused Wooden Stairs
bloodarsenal:blood_infused_wooden_fence, Blood Infused Wooden Fence
bloodarsenal:blood_infused_wooden_fence_gate, Blood Infused Wooden Fence Gate
bloodarsenal:blood_stained_glass, Blood Stained Glass
bloodarsenal:blood_stained_glass_pane, Blood Stained Glass Pane
bloodarsenal:blood_torch, Blood Torch
bloodarsenal:blood_infused_iron_block, Blood Infused Iron Block
bloodarsenal:blood_infused_glowstone, Blood Infused Glowstone
bloodarsenal:glass_shards, Glass Shards
bloodarsenal:block_blood_burned_string, Blood Burned String
bloodarsenal:altare_aenigmatica, Altare Aenigmatica
bloodarsenal:stasis_plate, Stasis Plate
bloodarsenal:blood_capacitor, Blood Capacitor
bloodarsenal:blood_infused_wooden_planks, Blood Infused Wooden Planks
bloodarsenal:blood_infused_wooden_slab:0, Blood Infused Wooden Slab
bloodarsenal:blood_diamond:0, Blood Diamond
bloodarsenal:blood_diamond:1, Inert Blood Diamond
bloodarsenal:blood_diamond:2, Blood Infused Diamond
bloodarsenal:blood_diamond:3, Bound Diamond
bloodarsenal:base_item:0, Glass Shard
bloodarsenal:base_item:1, Blood Infused Stick
bloodarsenal:base_item:2, Blood Infused Glowstone Dust
bloodarsenal:base_item:3, Inert Blood-Iron Ingot
bloodarsenal:base_item:4, Blood Infused Iron Ingot
bloodarsenal:base_item:5, Stasis Plate
bloodarsenal:base_item:6, Swimming Reagent
bloodarsenal:base_item:7, Ender Reagent
bloodarsenal:base_item:8, Lightning Reagent
bloodarsenal:base_item:9, Divinity Reagent
bloodarsenal:blood_burned_string, Blood Burned String
bloodarsenal:blood_orange, Blood Orange
bloodarsenal:blood_infused_wooden_pickaxe, Blood Infused Wooden Pickaxe
bloodarsenal:blood_infused_wooden_axe, Blood Infused Wooden Axe
bloodarsenal:blood_infused_wooden_shovel, Blood Infused Wooden Shovel
bloodarsenal:blood_infused_wooden_sickle, Blood Infused Wooden Sickle
bloodarsenal:blood_infused_wooden_sword, Blood Infused Wooden Sword
bloodarsenal:blood_infused_iron_pickaxe, Blood Infused Iron Pickaxe
bloodarsenal:blood_infused_iron_axe, Blood Infused Iron Axe
bloodarsenal:blood_infused_iron_shovel, Blood Infused Iron Shovel
bloodarsenal:blood_infused_iron_sickle, Blood Infused Iron Sickle
bloodarsenal:blood_infused_iron_sword, Blood Infused Iron Sword
bloodarsenal:glass_sacrificial_dagger, Glass Sacrificial Dagger
bloodarsenal:glass_dagger_of_sacrifice, Glass Dagger of Sacrifice
bloodarsenal:gem:0, Gem of Self Sacrifice
bloodarsenal:gem:1, Gem of Sacrifice
bloodarsenal:gem:2, Gem of Tartaric Will
bloodarsenal:sigil_swimming, Sigil of Swimming
bloodarsenal:sigil_ender, Ender Sigil
bloodarsenal:sigil_augmented_holding, Sigil of Augmented Holding
bloodarsenal:sigil_lightning, Lightning Sigil
bloodarsenal:sigil_divinity, Sigil of Divinity
bloodarsenal:sigil_sentience, Sigil of Sentience
bloodarsenal:bound_stick, Bound Stick
bloodarsenal:bound_sickle, Bound Sickle
bloodarsenal:bound_igniter, Bound Igniter
bloodarsenal:bound_shears, Bound Shears
bloodarsenal:stasis_axe, Stasis Axe
bloodarsenal:stasis_pickaxe, Stasis Pickaxe
bloodarsenal:stasis_shovel, Stasis Shovel
bloodarsenal:stasis_sword, Stasis Blade
bloodarsenal:modifier_tome, Modifier Tome
bloodarsenal:warp_blade, Warp Blade
bloodarsenal:sacrifice_amulet:0, Amulet of Sacrifice
bloodarsenal:self_sacrifice_amulet:0, Amulet of Self Sacrifice
bloodarsenal:vampire_ring, Vampire Ring
bloodarsenal:soul_pendant:0, Petty Soul Pendant
bloodarsenal:soul_pendant:1, Lesser Soul Pendant
bloodarsenal:soul_pendant:2, Common Soul Pendant
bloodarsenal:soul_pendant:3, Greater Soul Pendant
bloodarsenal:soul_pendant:4, Grand Soul Pendant
bloodarsenal:soul_pendant:0, Petty Soul Pendant
bloodarsenal:soul_pendant:1, Lesser Soul Pendant
bloodarsenal:soul_pendant:2, Common Soul Pendant
bloodarsenal:soul_pendant:3, Greater Soul Pendant
bloodarsenal:soul_pendant:4, Grand Soul Pendant
bloodarsenal:soul_pendant:0, Petty Soul Pendant
bloodarsenal:soul_pendant:1, Lesser Soul Pendant
bloodarsenal:soul_pendant:2, Common Soul Pendant
bloodarsenal:soul_pendant:3, Greater Soul Pendant
bloodarsenal:soul_pendant:4, Grand Soul Pendant
bloodarsenal:soul_pendant:0, Petty Soul Pendant
bloodarsenal:soul_pendant:1, Lesser Soul Pendant
bloodarsenal:soul_pendant:2, Common Soul Pendant
bloodarsenal:soul_pendant:3, Greater Soul Pendant
bloodarsenal:soul_pendant:4, Grand Soul Pendant
bloodarsenal:soul_pendant:0, Petty Soul Pendant
bloodarsenal:soul_pendant:1, Lesser Soul Pendant
bloodarsenal:soul_pendant:2, Common Soul Pendant
bloodarsenal:soul_pendant:3, Greater Soul Pendant
bloodarsenal:soul_pendant:4, Grand Soul Pendant
bloodarsenal:soul_pendant:0, Petty Soul Pendant
bloodarsenal:soul_pendant:1, Lesser Soul Pendant
bloodarsenal:soul_pendant:2, Common Soul Pendant
bloodarsenal:soul_pendant:3, Greater Soul Pendant
bloodarsenal:soul_pendant:4, Grand Soul Pendant
botania:livingwood0stairs, tile.livingwood0Stairs.name
botania:livingwood0slab:0, Livingwood Slab
botania:livingwood0wall, tile.livingwood0Wall.name
botania:livingwood1stairs, tile.livingwood1Stairs.name
botania:livingwood1slab:0, Livingwood Plank Slab
botania:livingrock0stairs, tile.livingrock0Stairs.name
botania:livingrock0slab:0, Livingrock Slab
botania:livingrock0wall, tile.livingrock0Wall.name
botania:livingrock1stairs, tile.livingrock1Stairs.name
botania:livingrock1slab:0, Livingrock Brick Slab
botania:dreamwood0stairs, tile.dreamwood0Stairs.name
botania:dreamwood0slab:0, Dreamwood Slab
botania:dreamwood0wall, tile.dreamwood0Wall.name
botania:dreamwood1stairs, tile.dreamwood1Stairs.name
botania:dreamwood1slab:0, Dreamwood Plank Slab
botania:quartztypedark:0, Block of Smokey Quartz
botania:quartztypedark:1, Chiseled Smokey Quartz Block
botania:quartztypedark:2, Pillar Smokey Quartz Block
botania:quartzslabdarkhalf:0, Smokey Quartz Slab
botania:quartzstairsdark, tile.quartzStairsDark.name
botania:quartztypemana:0, Block of Mana Quartz
botania:quartztypemana:1, Chiseled Mana Quartz Block
botania:quartztypemana:2, Pillar Mana Quartz Block
botania:quartzslabmanahalf:0, Mana Quartz Slab
botania:quartzstairsmana, tile.quartzStairsMana.name
botania:quartztypeblaze:0, Block of Blaze Quartz
botania:quartztypeblaze:1, Chiseled Blaze Quartz Block
botania:quartztypeblaze:2, Pillar Blaze Quartz Block
botania:quartzslabblazehalf:0, Blaze Quartz Slab
botania:quartzstairsblaze, tile.quartzStairsBlaze.name
botania:quartztypelavender:0, Block of Lavender Quartz
botania:quartztypelavender:1, Chiseled Lavender Quartz Block
botania:quartztypelavender:2, Pillar Lavender Quartz Block
botania:quartzslablavenderhalf:0, Lavender Quartz Slab
botania:quartzstairslavender, tile.quartzStairsLavender.name
botania:quartztypered:0, Block of Redquartz
botania:quartztypered:1, Chiseled Redquartz Block
botania:quartztypered:2, Pillar Redquartz Block
botania:quartzslabredhalf:0, Redquartz Slab
botania:quartzstairsred, tile.quartzStairsRed.name
botania:quartztypeelf:0, Block of Elven Quartz
botania:quartztypeelf:1, Chiseled Elven Quartz Block
botania:quartztypeelf:2, Pillar Elven Quartz Block
botania:quartzslabelfhalf:0, Elven Quartz Slab
botania:quartzstairself, tile.quartzStairsElf.name
botania:quartztypesunny:0, Block of Sunny Quartz
botania:quartztypesunny:1, Chiseled Sunny Quartz Block
botania:quartztypesunny:2, Pillar Sunny Quartz Block
botania:quartzslabsunnyhalf:0, Sunny Quartz Slab
botania:quartzstairssunny, tile.quartzStairsSunny.name
botania:biomestonea:0, Metamorphic Forest Stone
botania:biomestonea:1, Metamorphic Plains Stone
botania:biomestonea:2, Metamorphic Mountain Stone
botania:biomestonea:3, Metamorphic Fungal Stone
botania:biomestonea:4, Metamorphic Swamp Stone
botania:biomestonea:5, Metamorphic Desert Stone
botania:biomestonea:6, Metamorphic Taiga Stone
botania:biomestonea:7, Metamorphic Mesa Stone
botania:biomestonea:8, Metamorphic Forest Cobblestone
botania:biomestonea:9, Metamorphic Plains Cobblestone
botania:biomestonea:10, Metamorphic Mountain Cobblestone
botania:biomestonea:11, Metamorphic Fungal Cobblestone
botania:biomestonea:12, Metamorphic Swamp Cobblestone
botania:biomestonea:13, Metamorphic Desert Cobblestone
botania:biomestonea:14, Metamorphic Taiga Cobblestone
botania:biomestonea:15, Metamorphic Mesa Cobblestone
botania:biomestoneb:0, Metamorphic Forest Stone Bricks
botania:biomestoneb:1, Metamorphic Plains Stone Bricks
botania:biomestoneb:2, Metamorphic Mountain Stone Bricks
botania:biomestoneb:3, Metamorphic Fungal Stone Bricks
botania:biomestoneb:4, Metamorphic Swamp Stone Bricks
botania:biomestoneb:5, Metamorphic Desert Stone Bricks
botania:biomestoneb:6, Metamorphic Taiga Stone Bricks
botania:biomestoneb:7, Metamorphic Mesa Stone Bricks
botania:biomestoneb:8, Chiseled Metamorphic Forest Stone Brick
botania:biomestoneb:9, Chiseled Metamorphic Plains Stone Brick
botania:biomestoneb:10, Chiseled Metamorphic Mountain Stone Brick
botania:biomestoneb:11, Chiseled Metamorphic Fungal Stone Brick
botania:biomestoneb:12, Chiseled Metamorphic Swamp Stone Brick
botania:biomestoneb:13, Chiseled Metamorphic Desert Stone Brick
botania:biomestoneb:14, Chiseled Metamorphic Taiga Stone Brick
botania:biomestoneb:15, Chiseled Metamorphic Mesa Stone Brick
botania:pavement:0, White Portuguese Pavement
botania:pavement:1, Black Portuguese Pavement
botania:pavement:2, Blue Portuguese Pavement
botania:pavement:3, Red Portuguese Pavement
botania:pavement:4, Yellow Portuguese Pavement
botania:pavement:5, Green Portuguese Pavement
botania:biomestonea0stairs, tile.biomeStoneA0Stairs.name
botania:biomestonea0slab:0, Metamorphic Forest Stone Slab
botania:biomestonea1stairs, tile.biomeStoneA1Stairs.name
botania:biomestonea1slab:0, Metamorphic Plains Stone Slab
botania:biomestonea2stairs, tile.biomeStoneA2Stairs.name
botania:biomestonea2slab:0, Metamorphic Mountain Stone Slab
botania:biomestonea3stairs, tile.biomeStoneA3Stairs.name
botania:biomestonea3slab:0, Metamorphic Fungal Stone Slab
botania:biomestonea4stairs, tile.biomeStoneA4Stairs.name
botania:biomestonea4slab:0, Metamorphic Swamp Stone Slab
botania:biomestonea5stairs, tile.biomeStoneA5Stairs.name
botania:biomestonea5slab:0, Metamorphic Desert Stone Slab
botania:biomestonea6stairs, tile.biomeStoneA6Stairs.name
botania:biomestonea6slab:0, Metamorphic Taiga Stone Slab
botania:biomestonea7stairs, tile.biomeStoneA7Stairs.name
botania:biomestonea7slab:0, Metamorphic Mesa Stone Slab
botania:biomestonea8stairs, tile.biomeStoneA8Stairs.name
botania:biomestonea8slab:0, Metamorphic Forest Cobblestone Slab
botania:biomestonea9stairs, tile.biomeStoneA9Stairs.name
botania:biomestonea9slab:0, Metamorphic Plains Cobblestone Slab
botania:biomestonea10stairs, tile.biomeStoneA10Stairs.name
botania:biomestonea10slab:0, Metamorphic Mountain Cobblestone Slab
botania:biomestonea11stairs, tile.biomeStoneA11Stairs.name
botania:biomestonea11slab:0, Metamorphic Fungal Cobblestone Slab
botania:biomestonea12stairs, tile.biomeStoneA12Stairs.name
botania:biomestonea12slab:0, Metamorphic Swamp Cobblestone Slab
botania:biomestonea13stairs, tile.biomeStoneA13Stairs.name
botania:biomestonea13slab:0, Metamorphic Desert Cobblestone Slab
botania:biomestonea14stairs, tile.biomeStoneA14Stairs.name
botania:biomestonea14slab:0, Metamorphic Taiga Cobblestone Slab
botania:biomestonea15stairs, tile.biomeStoneA15Stairs.name
botania:biomestonea15slab:0, Metamorphic Mesa Cobblestone Slab
botania:biomestoneb0stairs, tile.biomeStoneB0Stairs.name
botania:biomestoneb0slab:0, Metamorphic Forest Stone Brick Slab
botania:biomestoneb1stairs, tile.biomeStoneB1Stairs.name
botania:biomestoneb1slab:0, Metamorphic Plains Stone Brick Slab
botania:biomestoneb2stairs, tile.biomeStoneB2Stairs.name
botania:biomestoneb2slab:0, Metamorphic Mountain Stone Brick Slab
botania:biomestoneb3stairs, tile.biomeStoneB3Stairs.name
botania:biomestoneb3slab:0, Metamorphic Fungal Stone Brick Slab
botania:biomestoneb4stairs, tile.biomeStoneB4Stairs.name
botania:biomestoneb4slab:0, Metamorphic Swamp Stone Brick Slab
botania:biomestoneb5stairs, tile.biomeStoneB5Stairs.name
botania:biomestoneb5slab:0, Metamorphic Desert Stone Brick Slab
botania:biomestoneb6stairs, tile.biomeStoneB6Stairs.name
botania:biomestoneb6slab:0, Metamorphic Taiga Stone Brick Slab
botania:biomestoneb7stairs, tile.biomeStoneB7Stairs.name
botania:biomestoneb7slab:0, Metamorphic Mesa Stone Bricks Slab
botania:biomestonea0wall:0, Metamorphic Forest Cobblestone Wall
botania:biomestonea0wall:1, Metamorphic Plains Cobblestone Wall
botania:biomestonea0wall:2, Metamorphic Mountain Cobblestone Wall
botania:biomestonea0wall:3, Metamorphic Fungal Cobblestone Wall
botania:biomestonea0wall:4, Metamorphic Swamp Cobblestone Wall
botania:biomestonea0wall:5, Metamorphic Desert Cobblestone Wall
botania:biomestonea0wall:6, Metamorphic Taiga Cobblestone Wall
botania:biomestonea0wall:7, Metamorphic Mesa Cobblestone Wall
botania:pavement0stairs, tile.pavement0Stairs.name
botania:pavement0slab:0, White Portuguese Pavement Slab
botania:pavement1stairs, tile.pavement1Stairs.name
botania:pavement1slab:0, Black Portuguese Pavement Slab
botania:pavement2stairs, tile.pavement2Stairs.name
botania:pavement2slab:0, Blue Portuguese Pavement Slab
botania:pavement3stairs, tile.pavement3Stairs.name
botania:pavement3slab:0, Red Portuguese Pavement Slab
botania:pavement4stairs, tile.pavement4Stairs.name
botania:pavement4slab:0, Yellow Portuguese Pavement Slab
botania:pavement5stairs, tile.pavement5Stairs.name
botania:pavement5slab:0, Green Portuguese Pavement Slab
botania:shimmerrock0slab:0, Shimmerrock Slab
botania:shimmerrock0stairs, tile.shimmerrock0Stairs.name
botania:shimmerwoodplanks0slab:0, Shimmerwood Plank Slab
botania:shimmerwoodplanks0stairs, tile.shimmerwoodPlanks0Stairs.name
botania:managlasspane, tile.manaGlassPane.name
botania:elfglasspane, tile.elfGlassPane.name
botania:bifrostpermpane, tile.bifrostPermPane.name
botania:lexicon, item.lexicon.name
botania:petal:0, Mystical White Petal
botania:petal:1, Mystical Orange Petal
botania:petal:2, Mystical Magenta Petal
botania:petal:3, Mystical Light Blue Petal
botania:petal:4, Mystical Yellow Petal
botania:petal:5, Mystical Lime Petal
botania:petal:6, Mystical Pink Petal
botania:petal:7, Mystical Gray Petal
botania:petal:8, Mystical Light Gray Petal
botania:petal:9, Mystical Cyan Petal
botania:petal:10, Mystical Purple Petal
botania:petal:11, Mystical Blue Petal
botania:petal:12, Mystical Brown Petal
botania:petal:13, Mystical Green Petal
botania:petal:14, Mystical Red Petal
botania:petal:15, Mystical Black Petal
botania:dye:0, Floral White Powder
botania:dye:1, Floral Orange Powder
botania:dye:2, Floral Magenta Powder
botania:dye:3, Floral Light Blue Powder
botania:dye:4, Floral Yellow Powder
botania:dye:5, Floral Lime Powder
botania:dye:6, Floral Pink Powder
botania:dye:7, Floral Gray Powder
botania:dye:8, Floral Light Gray Powder
botania:dye:9, Floral Cyan Powder
botania:dye:10, Floral Purple Powder
botania:dye:11, Floral Blue Powder
botania:dye:12, Floral Brown Powder
botania:dye:13, Floral Green Powder
botania:dye:14, Floral Red Powder
botania:dye:15, Floral Black Powder
botania:pestleandmortar, item.pestleAndMortar.name
botania:twigwand:0, Wand of the Forest
botania:twigwand:0, Wand of the Forest
botania:twigwand:0, Wand of the Forest
botania:twigwand:0, Wand of the Forest
botania:twigwand:0, Wand of the Forest
botania:twigwand:0, Wand of the Forest
botania:twigwand:0, Wand of the Forest
botania:twigwand:0, Wand of the Forest
botania:twigwand:0, Wand of the Forest
botania:twigwand:0, Wand of the Forest
botania:twigwand:0, Wand of the Forest
botania:twigwand:0, Wand of the Forest
botania:twigwand:0, Wand of the Forest
botania:twigwand:0, Wand of the Forest
botania:twigwand:0, Wand of the Forest
botania:twigwand:0, Wand of the Forest
botania:manaresource:0, Manasteel Ingot
botania:manaresource:1, Mana Pearl
botania:manaresource:2, Mana Diamond
botania:manaresource:3, Livingwood Twig
botania:manaresource:4, Terrasteel Ingot
botania:manaresource:5, Gaia Spirit
botania:manaresource:6, Redstone Root
botania:manaresource:7, Elementium Ingot
botania:manaresource:8, Pixie Dust
botania:manaresource:9, Dragonstone
botania:manaresource:11, Crafting Placeholder
botania:manaresource:12, Red String
botania:manaresource:13, Dreamwood Twig
botania:manaresource:14, Gaia Spirit Ingot
botania:manaresource:15, Ender Air Bottle
botania:manaresource:16, Mana Infused String
botania:manaresource:17, Manasteel Nugget
botania:manaresource:18, Terrasteel Nugget
botania:manaresource:19, Elementium Nugget
botania:manaresource:22, Manaweave Cloth
botania:manaresource:23, Mana Powder
botania:lens:0, Mana Lens
botania:lens:1, Mana Lens: Velocity
botania:lens:2, Mana Lens: Potency
botania:lens:3, Mana Lens: Resistance
botania:lens:4, Mana Lens: Efficiency
botania:lens:5, Mana Lens: Bounce
botania:lens:6, Mana Lens: Gravity
botania:lens:7, Mana Lens: Bore
botania:lens:8, Mana Lens: Damaging
botania:lens:9, Mana Lens: Phantom
botania:lens:10, Mana Lens: Magnetizing
botania:lens:11, Mana Lens: Entropic
botania:lens:12, Mana Lens: Influence
botania:lens:13, Mana Lens: Weight
botania:lens:14, Mana Lens: Paintslinger
botania:lens:15, Mana Lens: Kindle
botania:lens:16, Mana Lens: Force
botania:lens:17, Mana Lens: Flash
botania:lens:18, Mana Lens: Warp
botania:lens:19, Mana Lens: Redirective
botania:lens:20, Mana Lens: Celebratory
botania:lens:21, Mana Lens: Flare
botania:lens:22, Mana Lens: Messenger
botania:lens:23, Mana Lens: Tripwire
botania:rune:0, Rune of Water
botania:rune:1, Rune of Fire
botania:rune:2, Rune of Earth
botania:rune:3, Rune of Air
botania:rune:4, Rune of Spring
botania:rune:5, Rune of Summer
botania:rune:6, Rune of Autumn
botania:rune:7, Rune of Winter
botania:rune:8, Rune of Mana
botania:rune:9, Rune of Lust
botania:rune:10, Rune of Gluttony
botania:rune:11, Rune of Greed
botania:rune:12, Rune of Sloth
botania:rune:13, Rune of Wrath
botania:rune:14, Rune of Envy
botania:rune:15, Rune of Pride
botania:manatablet, item.manaTablet.name
botania:managun, item.manaGun.name
botania:manacookie, item.manaCookie.name
botania:fertilizer, item.fertilizer.name
botania:grassseeds:0, Pasture Seeds
botania:grassseeds:1, Boreal Seeds
botania:grassseeds:2, Infestation Spores
botania:grassseeds:3, Dry Pasture Seeds
botania:grassseeds:4, Golden Pasture Seeds
botania:grassseeds:5, Vivid Pasture Seeds
botania:grassseeds:6, Scorched Pasture Seeds
botania:grassseeds:7, Infused Pasture Seeds
botania:grassseeds:8, Mutated Pasture Seeds
botania:dirtrod, item.dirtRod.name
botania:terraformrod, item.terraformRod.name
botania:grasshorn:0, Horn of the Wild
botania:grasshorn:1, Horn of the Canopy
botania:grasshorn:2, Horn of the Covering
botania:manamirror, item.manaMirror.name
botania:manasteelhelm, item.manasteelHelm.name
botania:manasteelhelmreveal, item.manasteelHelmReveal.name
botania:manasteelchest, item.manasteelChest.name
botania:manasteellegs, item.manasteelLegs.name
botania:manasteelboots, item.manasteelBoots.name
botania:manasteelpick, item.manasteelPick.name
botania:manasteelshovel, item.manasteelShovel.name
botania:manasteelaxe, item.manasteelAxe.name
botania:manasteelsword, item.manasteelSword.name
botania:manasteelshears, item.manasteelShears.name
botania:terrasteelhelm, item.terrasteelHelm.name
botania:terrasteelhelmreveal, item.terrasteelHelmReveal.name
botania:terrasteelchest, item.terrasteelChest.name
botania:terrasteellegs, item.terrasteelLegs.name
botania:terrasteelboots, item.terrasteelBoots.name
botania:terrasword, item.terraSword.name
botania:tinyplanet, item.tinyPlanet.name
botania:manaring, item.manaRing.name
botania:auraring, item.auraRing.name
botania:manaringgreater, item.manaRingGreater.name
botania:auraringgreater, item.auraRingGreater.name
botania:travelbelt, item.travelBelt.name
botania:knockbackbelt, item.knockbackBelt.name
botania:icependant, item.icePendant.name
botania:lavapendant, item.lavaPendant.name
botania:magnetring, item.magnetRing.name
botania:waterring, item.waterRing.name
botania:miningring, item.miningRing.name
botania:terrapick, item.terraPick.name
botania:divacharm, item.divaCharm.name
botania:flighttiara:0, Flügel Tiara
botania:flighttiara:1, Flügel Tiara
botania:flighttiara:2, Flügel Tiara
botania:flighttiara:3, Flügel Tiara
botania:flighttiara:4, Flügel Tiara
botania:flighttiara:5, Flügel Tiara
botania:flighttiara:6, Flügel Tiara
botania:flighttiara:7, Flügel Tiara
botania:flighttiara:8, Flügel Tiara
botania:enderdagger, item.enderDagger.name
botania:quartz:0, Smokey Quartz
botania:quartz:1, Mana Quartz
botania:quartz:2, Blaze Quartz
botania:quartz:3, Lavender Quartz
botania:quartz:4, Redquartz
botania:quartz:5, Elven Quartz
botania:quartz:6, Sunny Quartz
botania:waterrod, item.waterRod.name
botania:elementiumhelm, item.elementiumHelm.name
botania:elementiumhelmreveal, item.elementiumHelmReveal.name
botania:elementiumchest, item.elementiumChest.name
botania:elementiumlegs, item.elementiumLegs.name
botania:elementiumboots, item.elementiumBoots.name
botania:elementiumpick, item.elementiumPick.name
botania:elementiumshovel, item.elementiumShovel.name
botania:elementiumaxe, item.elementiumAxe.name
botania:elementiumsword, item.elementiumSword.name
botania:elementiumshears, item.elementiumShears.name
botania:openbucket, item.openBucket.name
botania:spawnermover, item.spawnerMover.name
botania:pixiering, item.pixieRing.name
botania:supertravelbelt, item.superTravelBelt.name
botania:rainbowrod, item.rainbowRod.name
botania:tornadorod, item.tornadoRod.name
botania:firerod, item.fireRod.name
botania:vineball, item.vineBall.name
botania:slingshot, item.slingshot.name
botania:manabottle, item.manaBottle.name
botania:laputashard:0, Shard of Laputa
botania:laputashard:4, Shard of Laputa
botania:laputashard:9, Shard of Laputa
botania:laputashard:14, Shard of Laputa
botania:laputashard:19, Shard of Laputa
botania:virus:0, Necrodermal Virus
botania:virus:1, Nullodermal Virus
botania:reachring, item.reachRing.name
botania:skydirtrod, item.skyDirtRod.name
botania:itemfinder, item.itemFinder.name
botania:superlavapendant, item.superLavaPendant.name
botania:enderhand, item.enderHand.name
botania:glasspick, item.glassPick.name
botania:spark, item.spark.name
botania:sparkupgrade:0, Spark Augment: Dispersive
botania:sparkupgrade:1, Spark Augment: Dominant
botania:sparkupgrade:2, Spark Augment: Recessive
botania:sparkupgrade:3, Spark Augment: Isolated
botania:diviningrod, item.diviningRod.name
botania:gravityrod, item.gravityRod.name
botania:manainkwell, item.manaInkwell.name
botania:vial:0, Managlass Vial
